Learning Rate	Train Loss1	Train Loss2	
0.100000	0.900031	0.954667	
0.100000	0.987032	0.755165	
0.100000	0.955222	0.865747	
0.100000	0.858877	0.878733	
0.100000	1.069083	1.163447	
0.100000	0.933259	0.765796	
0.100000	0.773229	0.862000	
0.100000	1.033431	0.975900	
0.100000	1.103126	0.983281	
0.100000	1.013922	0.862904	
0.100000	0.896848	0.749040	
0.100000	1.877726	2.063245	
0.100000	1.029555	1.038157	
0.100000	1.103489	1.068479	
0.100000	1.009875	0.963070	
0.100000	0.960324	0.914396	
0.100000	1.202784	1.109067	
0.100000	0.820025	0.805834	
0.100000	1.255440	1.163240	
0.100000	1.655840	1.524635	
0.100000	0.979062	1.068129	
0.100000	0.871996	0.989672	
0.100000	0.893102	0.804097	
0.100000	1.085473	1.122430	
0.100000	0.801089	0.814191	
0.100000	1.017820	0.898503	
0.100000	1.172533	1.062741	
0.100000	1.043726	0.932165	
0.100000	0.958616	0.826776	
0.100000	0.909120	0.837601	
0.100000	1.183922	0.976962	
0.100000	0.942612	0.799340	
0.100000	1.162585	1.049527	
0.100000	1.250218	1.107665	
0.100000	0.982874	0.941421	
0.100000	0.856284	0.784820	
0.100000	0.992616	1.021639	
0.100000	1.369988	1.191362	
0.100000	1.059896	0.929982	
0.100000	1.115291	0.906061	
0.100000	0.851333	0.751630	
0.100000	1.094980	1.049443	
0.100000	0.877899	0.868393	
0.100000	1.351593	1.355520	
0.100000	1.078443	1.028790	
0.100000	1.016148	0.818148	
0.100000	0.872166	0.948315	
0.100000	1.035556	0.996607	
0.100000	0.919058	0.760595	
0.100000	1.081721	0.921033	
0.100000	0.901364	0.778129	
0.100000	0.904354	0.915787	
0.100000	1.055972	0.847120	
0.100000	1.264369	1.226213	
0.100000	0.901839	0.903096	
0.100000	0.973101	0.827090	
0.100000	0.884737	0.954178	
0.100000	0.999915	1.017044	
0.100000	0.997058	1.001054	
0.100000	0.803021	0.665013	
0.100000	1.058880	0.873976	
0.100000	0.916279	0.946886	
0.100000	1.004873	0.937857	
0.100000	0.783872	0.732937	
0.100000	0.817711	0.760148	
0.100000	0.820566	0.843593	
0.100000	0.988727	0.873155	
0.100000	1.126243	0.962640	
0.100000	0.983190	1.040520	
0.100000	0.743380	0.619122	
0.100000	0.781623	0.758009	
0.100000	0.831586	0.778580	
0.100000	1.361229	1.310635	
